iter	Passed	Remaining
0	3853	3849344
1	7555	3770302
2	11264	3743716
3	15028	3742130
4	18805	3742320
5	22577	3740286
6	26334	3735669
7	30140	3737376
8	33953	3738630
9	37728	3735109
10	41501	3731318
11	45299	3729625
12	49158	3732254
13	53005	3733076
14	56802	3730002
15	60640	3729403
16	64486	3728825
17	68275	3724810
18	72025	3718815
19	75874	3717839
20	79694	3715302
21	83490	3711535
22	87336	3709919
23	91151	3706822
24	95036	3706439
25	98863	3703562
26	102697	3700910
27	106496	3696963
28	110317	3693741
29	110333	3567445
30	114179	3569021
31	118045	3570864
32	121875	3571328
33	125720	3571938
34	129586	3572896
35	133436	3573145
36	137263	3572567
37	141062	3571107
38	144899	3570463
39	148716	3569184
40	152584	3568980
41	156446	3568471
42	160251	3566530
43	164080	3565029
44	167917	3563579
45	171769	3562351
46	175628	3561139
47	179480	3559699
48	183335	3558214
49	187153	3555912
50	190986	3553851
51	194831	3551932
52	198671	3549850
53	202559	3548542
54	206441	3547046
55	206452	3480202
56	210323	3479562
57	214289	3480363
58	218273	3481273
59	222350	3483495
60	226498	3486586
61	230581	3488475
62	234684	3490465
63	238813	3492643
64	242927	3494422
65	247033	3495898
66	251126	3497033
67	255236	3498236
68	259350	3499347
69	263472	3500418
70	267587	3501255
71	271696	3501860
72	275784	3502080
73	279943	3503072
74	284064	3503459
75	288211	3504039
76	292315	3503991
77	296426	3503910
78	300501	3503315
79	304608	3502999
80	308718	3502615
81	312863	3502544
82	316984	3502111
83	321117	3501713
84	325241	3501123
85	329407	3500913
86	333556	3500429
87	337709	3499902
88	341932	3500009
89	346132	3499786
90	350343	3499582
91	354581	3499560
92	358814	3499403
93	362994	3498647
94	367203	3498096
95	371444	3497765
96	375649	3497022
97	379860	3496271
98	384025	3495018
99	388218	3493963
100	392404	3492784
101	396587	3491523
102	400759	3490112
103	404906	3488422
104	409067	3486816
105	413159	3484567
106	417361	3483217
107	421546	3481659
108	425699	3479799
109	429869	3478034
110	434043	3476261
111	438272	3474872
112	442488	3473337
113	446753	3472135
114	450948	3470340
115	455153	3468580
116	459338	3466632
117	463513	3464566
118	467437	3460610
